Domain,IP,ASName
encore.scdn.co,23.44.131.136,AKAMAI-ASN1
i.scdn.co8,199.232.38.248,FASTLY
open.spotify.com,35.186.224.25,GOOGLE
i.scdn.co6,199.232.38.248,FASTLY
spclient.wg.spotify.com4,35.186.224.25,GOOGLE
i.scdn.co28,199.232.38.248,FASTLY
i.scdn.co23,199.232.38.248,FASTLY
open.spotify.com1,35.186.224.25,GOOGLE
cdn.cookielaw.org2,104.19.177.52,CLOUDFLARENET
open.spotifycdn.com6,199.232.38.251,FASTLY
i.scdn.co5,199.232.38.248,FASTLY
open.spotifycdn.com3,199.232.38.251,FASTLY
spclient.wg.spotify.com1,35.186.224.25,GOOGLE
charts-images.scdn.co1,199.232.38.248,FASTLY
google.com2,142.250.80.78,GOOGLE
seeded-session-images.scdn.co,199.232.38.248,FASTLY
i.scdn.co11,199.232.38.248,FASTLY
open.spotifycdn.com22,199.232.38.251,FASTLY
i.scdn.co17,199.232.38.248,FASTLY
api-partner.spotify.com3,35.186.224.25,GOOGLE
web-sdk-assets.spotifycdn.com1,199.232.38.250,FASTLY
open.spotifycdn.com14,199.232.38.251,FASTLY
spotify.com,35.186.224.25,GOOGLE
open.spotifycdn.com12,199.232.38.251,FASTLY
apresolve.spotify.com2,35.186.224.25,GOOGLE
gstatic.com2,142.251.32.99,GOOGLE
i.scdn.co10,199.232.38.248,FASTLY
i.scdn.co13,199.232.38.248,FASTLY
api-partner.spotify.com4,35.186.224.25,GOOGLE
open.spotifycdn.com11,199.232.38.251,FASTLY
i.scdn.co7,199.232.38.248,FASTLY
encore.scdn.co2,23.44.131.136,AKAMAI-ASN1
gstatic.com6,142.251.32.99,GOOGLE
i.scdn.co21,199.232.38.248,FASTLY
open.spotifycdn.com10,199.232.38.251,FASTLY
api-partner.spotify.com5,35.186.224.25,GOOGLE
apresolve.spotify.com,35.186.224.25,GOOGLE
drive.google.com11,142.250.80.46,GOOGLE
drive.google.com21,142.250.80.46,GOOGLE
lh3.google.com,172.217.165.142,GOOGLE
